naics	susb_statenaics_firms	yr	state
72	2107	2001	TX
81	1448	2001	TX
95	550	2001	TX
99	0	2001	TX
11	2	2001	UT
21	63	2001	UT
22	16	2001	UT
23	210	2001	UT
31	517	2001	UT
42	585	2001	UT
44	596	2001	UT
48	201	2001	UT
51	152	2001	UT
52	257	2001	UT
53	124	2001	UT
54	365	2001	UT
55	193	2001	UT
56	270	2001	UT
61	49	2001	UT
62	251	2001	UT
71	53	2001	UT
72	329	2001	UT
81	147	2001	UT
95	84	2001	UT
99	0	2001	UT
11	1	2001	VT
21	6	2001	VT
22	15	2001	VT
23	35	2001	VT
31	201	2001	VT
42	147	2001	VT
44	296	2001	VT
48	51	2001	VT
51	50	2001	VT
52	99	2001	VT
53	32	2001	VT
54	75	2001	VT
55	57	2001	VT
56	61	2001	VT
61	42	2001	VT
62	121	2001	VT
71	15	2001	VT
72	105	2001	VT
81	48	2001	VT
95	22	2001	VT
99	0	2001	VT
11	15	2001	VA
21	68	2001	VA
22	45	2001	VA
23	685	2001	VA
31	1094	2001	VA
42	1064	2001	VA
44	1327	2001	VA
48	432	2001	VA
51	410	2001	VA
52	553	2001	VA
53	325	2001	VA
54	1359	2001	VA
55	594	2001	VA
56	848	2001	VA
61	234	2001	VA
62	780	2001	VA
71	189	2001	VA
72	869	2001	VA
81	533	2001	VA
95	194	2001	VA
99	1	2001	VA
11	82	2001	WA
21	29	2001	WA
22	19	2001	WA
23	517	2001	WA
31	1105	2001	WA
42	1253	2001	WA
44	1108	2001	WA
48	396	2001	WA
51	330	2001	WA
52	480	2001	WA
53	297	2001	WA
54	770	2001	WA
55	522	2001	WA
56	514	2001	WA
61	163	2001	WA
62	767	2001	WA
71	213	2001	WA
72	658	2001	WA
81	409	2001	WA
95	181	2001	WA
99	0	2001	WA
11	6	2001	WV
21	79	2001	WV
22	14	2001	WV
23	97	2001	WV
31	328	2001	WV
42	310	2001	WV
44	450	2001	WV
48	111	2001	WV
51	68	2001	WV
52	154	2001	WV
53	83	2001	WV
54	156	2001	WV
55	133	2001	WV
56	136	2001	WV
61	28	2001	WV
62	340	2001	WV
71	33	2001	WV
72	264	2001	WV
81	130	2001	WV
95	54	2001	WV
99	0	2001	WV
11	15	2001	WI
21	25	2001	WI
22	26	2001	WI
23	361	2001	WI
31	1929	2001	WI
42	1029	2001	WI
44	1227	2001	WI
48	370	2001	WI
51	211	2001	WI
52	472	2001	WI
53	167	2001	WI
54	520	2001	WI
55	476	2001	WI
56	530	2001	WI
61	155	2001	WI
62	739	2001	WI
71	154	2001	WI
72	798	2001	WI
81	392	2001	WI
95	187	2001	WI
99	0	2001	WI
11	2	2001	WY
21	101	2001	WY
22	17	2001	WY
23	45	2001	WY
31	74	2001	WY
42	137	2001	WY
44	228	2001	WY
48	56	2001	WY
51	38	2001	WY
52	77	2001	WY
53	37	2001	WY
54	54	2001	WY
55	37	2001	WY
56	51	2001	WY
61	9	2001	WY
62	101	2001	WY
71	11	2001	WY
72	131	2001	WY
81	51	2001	WY
95	16	2001	WY
99	0	2001	WY
11	81	2002	AL
21	104	2002	AL
22	38	2002	AL
23	1032	2002	AL
31	1593	2002	AL
42	1242	2002	AL
44	1630	2002	AL
48	504	2002	AL
51	233	2002	AL
52	483	2002	AL
53	254	2002	AL
54	841	2002	AL
55	365	2002	AL
56	612	2002	AL
61	206	2002	AL
62	1112	2002	AL
71	170	2002	AL
72	1212	2002	AL
81	919	2002	AL
95	102	2002	AL
99	0	2002	AL
11	18	2002	AK
21	51	2002	AK
22	22	2002	AK
23	143	2002	AK
31	77	2002	AK
42	194	2002	AK
44	307	2002	AK
48	149	2002	AK
51	60	2002	AK
52	96	2002	AK
53	62	2002	AK
54	175	2002	AK
55	73	2002	AK
56	129	2002	AK
61	37	2002	AK
62	202	2002	AK
71	38	2002	AK
72	248	2002	AK
81	140	2002	AK
95	20	2002	AK
99	0	2002	AK
11	25	2002	AZ
21	55	2002	AZ
22	37	2002	AZ
23	1704	2002	AZ
31	1281	2002	AZ
42	1420	2002	AZ
44	1599	2002	AZ
48	415	2002	AZ
51	330	2002	AZ
52	690	2002	AZ
53	467	2002	AZ
54	1178	2002	AZ
55	460	2002	AZ
56	1102	2002	AZ
61	339	2002	AZ
62	1191	2002	AZ
71	313	2002	AZ
72	1796	2002	AZ
81	893	2002	AZ
95	171	2002	AZ
99	1	2002	AZ
11	62	2002	AR
21	69	2002	AR
22	33	2002	AR
23	512	2002	AR
31	985	2002	AR
42	794	2002	AR
44	1052	2002	AR
48	285	2002	AR
51	164	2002	AR
52	346	2002	AR
53	147	2002	AR
54	343	2002	AR
55	242	2002	AR
56	343	2002	AR
61	115	2002	AR
62	721	2002	AR
71	107	2002	AR
72	930	2002	AR
81	454	2002	AR
95	62	2002	AR
99	0	2002	AR
11	273	2002	CA
21	194	2002	CA
22	104	2002	CA
23	7816	2002	CA
31	12424	2002	CA
42	8749	2002	CA
44	8305	2002	CA
48	2659	2002	CA
51	2333	2002	CA
52	2709	2002	CA
53	2367	2002	CA
54	7986	2002	CA
55	2685	2002	CA
56	5342	2002	CA
61	2087	2002	CA
62	7006	2002	CA
71	1862	2002	CA
72	10150	2002	CA
81	5482	2002	CA
95	845	2002	CA
99	13	2002	CA
11	16	2002	CO
21	175	2002	CO
22	53	2002	CO
23	1485	2002	CO
31	1143	2002	CO
42	1525	2002	CO
44	1703	2002	CO
48	432	2002	CO
51	489	2002	CO
52	750	2002	CO
53	472	2002	CO
54	1520	2002	CO
55	536	2002	CO
56	995	2002	CO
61	300	2002	CO
62	1211	2002	CO
71	295	2002	CO
72	2133	2002	CO
81	936	2002	CO
95	172	2002	CO
99	1	2002	CO
11	5	2002	CT
21	9	2002	CT
22	30	2002	CT
23	605	2002	CT
31	1550	2002	CT
42	1086	2002	CT
44	1518	2002	CT
48	317	2002	CT
51	320	2002	CT
52	595	2002	CT
53	257	2002	CT
54	1007	2002	CT
55	410	2002	CT
56	698	2002	CT
61	287	2002	CT
62	1353	2002	CT
71	304	2002	CT
72	1174	2002	CT
81	670	2002	CT
95	98	2002	CT
99	2	2002	CT
11	2	2002	DE
21	4	2002	DE
22	9	2002	DE
23	248	2002	DE
31	219	2002	DE
42	268	2002	DE
44	642	2002	DE
48	117	2002	DE
51	76	2002	DE
52	367	2002	DE
53	205	2002	DE
54	284	2002	DE
55	691	2002	DE
56	230	2002	DE
61	66	2002	DE
62	317	2002	DE
71	60	2002	DE
72	350	2002	DE
81	216	2002	DE
95	39	2002	DE
99	1	2002	DE
11	0	2002	DC
21	2	2002	DC
22	20	2002	DC
23	86	2002	DC
31	30	2002	DC
42	107	2002	DC
44	306	2002	DC
48	77	2002	DC
51	207	2002	DC
52	220	2002	DC
53	141	2002	DC
54	927	2002	DC
55	154	2002	DC
56	298	2002	DC
61	153	2002	DC
62	341	2002	DC
71	54	2002	DC
72	387	2002	DC
81	788	2002	DC
95	51	2002	DC
99	0	2002	DC
11	121	2002	FL
21	63	2002	FL
22	68	2002	FL
23	3714	2002	FL
31	2893	2002	FL
42	3386	2002	FL
44	3745	2002	FL
48	1115	2002	FL
51	765	2002	FL
52	1586	2002	FL
53	1022	2002	FL
54	3357	2002	FL
55	1178	2002	FL
56	2594	2002	FL
61	829	2002	FL
62	3526	2002	FL
71	951	2002	FL
72	4441	2002	FL
81	2757	2002	FL
95	306	2002	FL
99	3	2002	FL
11	122	2002	GA
21	44	2002	GA
22	70	2002	GA
23	1915	2002	GA
31	2541	2002	GA
42	2759	2002	GA
44	2554	2002	GA
48	873	2002	GA
51	598	2002	GA
52	1081	2002	GA
53	608	2002	GA
54	2088	2002	GA
55	937	2002	GA
56	1442	2002	GA
61	426	2002	GA
62	2000	2002	GA
71	360	2002	GA
72	2514	2002	GA
81	1603	2002	GA
95	289	2002	GA
99	2	2002	GA
11	5	2002	HI
21	4	2002	HI
22	13	2002	HI
23	300	2002	HI
31	164	2002	HI
42	355	2002	HI
